PMID,is_embargoed,Findit_reason
38911432,True,PAYWALL: pmc article in embargo until 2025-06-01
38911425,True,PAYWALL: pmc article in embargo until 2025-06-01
38911420,True,PAYWALL: pmc article in embargo until 2025-06-01
38911417,True,PAYWALL: pmc article in embargo until 2025-06-01
38911410,True,PAYWALL: pmc article in embargo until 2025-06-01
38911406,True,PAYWALL: pmc article in embargo until 2025-06-01
38911355,True,PAYWALL: pmc article in embargo until 2025-01-01
38910935,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11190652&blobtype=pdf
38900859,False,"NOFORMAT: No URL format for journal ""Psychol Rep"""
38895097,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11184278&blobtype=pdf
38884107,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11179053&blobtype=pdf
38883554,True,PAYWALL: pmc article in embargo until 2025-06-01
38863778,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11165939&blobtype=pdf
38863566,True,PAYWALL: pmc article in embargo until 2025-06-01
38863469,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11163257&blobtype=pdf
38859903,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11164546&blobtype=pdf
38859819,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11164544&blobtype=pdf
38855558,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11153022&blobtype=pdf
38855403,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC7616069&blobtype=pdf
38855171,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11160559&blobtype=pdf
38854663,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11160560&blobtype=pdf
38846061,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11153999&blobtype=pdf
38846025,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11156218&blobtype=pdf
38835516,True,PAYWALL: pmc article in embargo until 2025-01-01
38828383,True,PAYWALL: pmc article in embargo until 2024-10-01
38828230,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11143405&blobtype=pdf
38827923,True,PAYWALL: pmc article in embargo until 2024-07-01
38827276,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11140307&blobtype=pdf
38827275,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11140298&blobtype=pdf
38826488,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11140305&blobtype=pdf
38818252,True,PAYWALL: pmc article in embargo until 2025-01-01
38818106,True,PAYWALL: pmc article in embargo until 2025-07-01
38818102,True,PAYWALL: pmc article in embargo until 2025-07-01
38818100,True,PAYWALL: pmc article in embargo until 2025-07-01
38818094,True,PAYWALL: pmc article in embargo until 2025-07-01
38818007,True,PAYWALL: pmc article in embargo until 2025-05-01
38818000,True,PAYWALL: pmc article in embargo until 2025-05-01
38817999,True,PAYWALL: pmc article in embargo until 2025-05-01
38817989,True,PAYWALL: pmc article in embargo until 2025-05-01
38817952,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11137477&blobtype=pdf
38817824,True,PAYWALL: pmc article in embargo until 2025-06-01
38817156,False,"NOFORMAT: No URL format for journal ""Indian J Pathol Microbiol"""
38817096,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11143761&blobtype=pdf
38813255,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11136476&blobtype=pdf
38807919,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11131564&blobtype=pdf
38807918,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11130584&blobtype=pdf
38807314,False,DENIED: ScienceDirect did not provide pdf link (probably paywalled)
38803560,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11127869&blobtype=pdf
38800714,True,PAYWALL: pmc article in embargo until 2025-01-01
38800668,True,PAYWALL: pmc article in embargo until 2025-01-01
38800508,True,PAYWALL: pmc article in embargo until 2025-04-01
38800468,True,PAYWALL: pmc article in embargo until 2025-04-01
38800006,True,PAYWALL: pmc article in embargo until 2025-05-01
38800005,True,PAYWALL: pmc article in embargo until 2025-05-01
38800004,True,PAYWALL: pmc article in embargo until 2025-05-01
38800001,True,PAYWALL: pmc article in embargo until 2025-05-01
38800000,True,PAYWALL: pmc article in embargo until 2025-05-01
38799998,True,PAYWALL: pmc article in embargo until 2025-05-01
38799997,True,PAYWALL: pmc article in embargo until 2025-05-01
38799996,True,PAYWALL: pmc article in embargo until 2025-05-01
38799991,True,PAYWALL: pmc article in embargo until 2025-05-01
38798305,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11128051&blobtype=pdf
38798304,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11126901&blobtype=pdf
38798303,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11128057&blobtype=pdf
38784193,True,PAYWALL: pmc article in embargo until 2025-06-01
38784192,True,PAYWALL: pmc article in embargo until 2025-06-01
38784190,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11110753&blobtype=pdf
38784189,True,PAYWALL: pmc article in embargo until 2025-06-01
38784184,True,PAYWALL: pmc article in embargo until 2025-06-01
38784181,True,PAYWALL: pmc article in embargo until 2025-06-01
38779513,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109555&blobtype=pdf
38779467,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109568&blobtype=pdf
38779465,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109579&blobtype=pdf
38779463,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109554&blobtype=pdf
38779462,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109691&blobtype=pdf
38779460,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109573&blobtype=pdf
38779420,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109559&blobtype=pdf
38779418,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11109552&blobtype=pdf
38779405,True,PAYWALL: pmc article in embargo until 2025-06-01
38774575,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11106593&blobtype=pdf
38774557,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11102855&blobtype=pdf
38774556,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11102854&blobtype=pdf
38770434,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11105165&blobtype=pdf
38770245,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11104765&blobtype=pdf
38768079,True,PAYWALL: pmc article in embargo until 2025-04-01
38765243,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11101922&blobtype=pdf
38765179,True,PAYWALL: pmc article in embargo until 2025-03-01
38751773,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11090801&blobtype=pdf
38751566,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11090821&blobtype=pdf
38737889,True,PAYWALL: pmc article in embargo until 2025-03-01
38737574,True,PAYWALL: pmc article in embargo until 2024-12-01
38736753,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11087065&blobtype=pdf
38736630,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11086993&blobtype=pdf
38725969,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11081598&blobtype=pdf
38725544,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11079584&blobtype=pdf
38725543,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11079982&blobtype=pdf
38721280,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11077619&blobtype=pdf
38720188,False,DENIED: ScienceDirect did not provide pdf link (probably paywalled)
38718189,False,"NOFORMAT: No URL format for journal ""Bioinformatics"""
38716406,True,PAYWALL: pmc article in embargo until 2025-01-01
38716045,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11070316&blobtype=pdf
38716044,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11070317&blobtype=pdf
38715953,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11074690&blobtype=pdf
38708867,False,TXERROR: 403 status returned from  url (http://www.tandfonline.com/doi/pdf/10.1080/10408398.2022.2139223)
38708191,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11066527&blobtype=pdf
38706952,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11068496&blobtype=pdf
38706784,True,PAYWALL: pmc article in embargo until 2025-01-01
38706705,True,PAYWALL: pmc article in embargo until 2025-01-01
38706614,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11069042&blobtype=pdf
38699622,True,PAYWALL: pmc article in embargo until 2025-04-01
38699620,True,PAYWALL: pmc article in embargo until 2025-04-01
38699614,True,PAYWALL: pmc article in embargo until 2025-04-01
38699601,True,PAYWALL: pmc article in embargo until 2025-04-01
38699146,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11065396&blobtype=pdf
38698923,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11060974&blobtype=pdf
38698922,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11060973&blobtype=pdf
38698872,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11060938&blobtype=pdf
38694790,True,PAYWALL: pmc article in embargo until 2025-01-01
38681258,True,PAYWALL: pmc article in embargo until 2025-05-01
38681257,True,PAYWALL: pmc article in embargo until 2025-05-01
38681256,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046272&blobtype=pdf
38681254,True,PAYWALL: pmc article in embargo until 2025-05-01
38681253,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046287&blobtype=pdf
38681252,True,PAYWALL: pmc article in embargo until 2025-05-01
38681251,True,PAYWALL: pmc article in embargo until 2025-05-01
38681250,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046273&blobtype=pdf
38681249,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046274&blobtype=pdf
38681248,True,PAYWALL: pmc article in embargo until 2025-05-01
38681247,True,PAYWALL: pmc article in embargo until 2025-05-01
38681246,True,PAYWALL: pmc article in embargo until 2025-05-01
38681244,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046279&blobtype=pdf
38681243,True,PAYWALL: pmc article in embargo until 2025-05-01
38681242,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046268&blobtype=pdf
38681241,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046285&blobtype=pdf
38681240,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046270&blobtype=pdf
38680592,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11053284&blobtype=pdf
38680591,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11053321&blobtype=pdf
38680586,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11053326&blobtype=pdf
38680581,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11053339&blobtype=pdf
38680575,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11053306&blobtype=pdf
38680574,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11053307&blobtype=pdf
38680232,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11046187&blobtype=pdf
38666163,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11042108&blobtype=pdf
38666160,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11042092&blobtype=pdf
38661469,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11057574&blobtype=pdf
38661467,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11057578&blobtype=pdf
38660582,True,PAYWALL: pmc article in embargo until 2025-01-01
38660581,True,PAYWALL: pmc article in embargo until 2025-01-01
38660331,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11042679&blobtype=pdf
38660329,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11037206&blobtype=pdf
38660328,True,PAYWALL: pmc article in embargo until 2025-03-01
38660323,True,PAYWALL: pmc article in embargo until 2025-03-01
38660322,True,PAYWALL: pmc article in embargo until 2025-03-01
38660321,True,PAYWALL: pmc article in embargo until 2025-03-01
38660317,True,PAYWALL: pmc article in embargo until 2025-03-01
38655416,True,PAYWALL: pmc article in embargo until 2025-04-01
38655414,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11034465&blobtype=pdf
38655406,True,PAYWALL: pmc article in embargo until 2025-04-01
38655405,True,PAYWALL: pmc article in embargo until 2025-04-01
38655404,True,PAYWALL: pmc article in embargo until 2025-04-01
38654755,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11036033&blobtype=pdf
38652727,False,DENIED: wolterskluwer did not provide PDF link for this article
38648166,False,"NOFORMAT: No URL format for journal ""Int J Prosthodont"""
38648163,False,"NOFORMAT: No URL format for journal ""Int J Prosthodont"""
38646087,True,PAYWALL: pmc article in embargo until 2025-01-01
38645935,True,PAYWALL: pmc article in embargo until 2025-01-01
38645469,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11027506&blobtype=pdf
38645420,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11028731&blobtype=pdf
38644938,True,PAYWALL: pmc article in embargo until 2025-01-01
38638080,False,"NOFORMAT: No URL format for journal ""J Child Adolesc Ment Health"""
38638054,False,"NOFORMAT: No URL format for journal ""J Child Adolesc Ment Health"""
38632957,False,"NOFORMAT: No URL format for journal ""J Child Adolesc Ment Health"""
38632955,False,"NOFORMAT: No URL format for journal ""J Child Adolesc Ment Health"""
38623143,False,TXERROR: 403 status returned from NIH (EuropePMC fallback) url (https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/38623143/pdf)
38620800,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9671704&blobtype=pdf
38618556,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11014778&blobtype=pdf
38618519,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11006591&blobtype=pdf
38617133,True,PAYWALL: pmc article in embargo until 2025-01-01
38616891,True,PAYWALL: pmc article in embargo until 2025-01-01
38616868,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11014817&blobtype=pdf
38616867,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11014879&blobtype=pdf
38603447,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9805994&blobtype=pdf
38603446,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9679319&blobtype=pdf
38603444,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9755044&blobtype=pdf
38603443,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9805997&blobtype=pdf
38603442,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9791069&blobtype=pdf
38603441,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9742732&blobtype=pdf
38603432,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9742737&blobtype=pdf
38603429,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9672979&blobtype=pdf
38603426,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9692171&blobtype=pdf
38603422,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9676110&blobtype=pdf
38603421,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9755041&blobtype=pdf
38603420,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9629055&blobtype=pdf
38603419,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9659687&blobtype=pdf
38603411,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9708527&blobtype=pdf
38603409,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9729717&blobtype=pdf
38603402,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9732492&blobtype=pdf
38603401,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9468866&blobtype=pdf
38603400,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9527129&blobtype=pdf
38603399,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9768532&blobtype=pdf
38603398,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9510966&blobtype=pdf
38603394,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9579818&blobtype=pdf
38603392,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9510962&blobtype=pdf
38603387,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9623406&blobtype=pdf
38603386,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9444819&blobtype=pdf
38603375,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9494165&blobtype=pdf
38603373,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9806198&blobtype=pdf
38603370,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9412142&blobtype=pdf
38603369,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9729720&blobtype=pdf
38603368,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9790854&blobtype=pdf
38603364,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9703015&blobtype=pdf
38603363,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9459373&blobtype=pdf
38603362,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9403529&blobtype=pdf
38603358,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9726634&blobtype=pdf
38603357,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9130864&blobtype=pdf
38603353,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9574546&blobtype=pdf
38603351,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9486672&blobtype=pdf
38603347,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9554564&blobtype=pdf
38603342,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9790859&blobtype=pdf
38603341,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9791071&blobtype=pdf
38603339,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9551669&blobtype=pdf
38603338,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9708528&blobtype=pdf
38603335,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9852969&blobtype=pdf
38603334,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9703026&blobtype=pdf
38603332,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9548495&blobtype=pdf
38603331,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9755039&blobtype=pdf
38603329,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9760523&blobtype=pdf
38603327,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9742735&blobtype=pdf
38603324,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9475371&blobtype=pdf
38603322,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9582737&blobtype=pdf
38603318,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9666410&blobtype=pdf
38603316,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9482944&blobtype=pdf
38603315,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9816620&blobtype=pdf
38603312,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9659695&blobtype=pdf
38603305,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9708525&blobtype=pdf
38603301,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9618914&blobtype=pdf
38603291,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9676109&blobtype=pdf
38603289,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9357748&blobtype=pdf
38603286,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9465058&blobtype=pdf
38603283,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9444822&blobtype=pdf
38603280,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9614593&blobtype=pdf
38603273,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9490396&blobtype=pdf
38603270,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9174139&blobtype=pdf
38603269,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9515746&blobtype=pdf
38603267,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9163656&blobtype=pdf
38603266,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9574532&blobtype=pdf
38603260,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9577818&blobtype=pdf
38603259,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9412144&blobtype=pdf
38603252,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9669505&blobtype=pdf
38603250,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9720467&blobtype=pdf
